【16:14:09】      message = 读取config配置 
【16:14:10】      message = 读取文字解析 
【16:14:10】      message = updataCatchData 
【16:14:13】      message = stcSquad_standard_attributionList 解析完成：9 
【16:14:13】      message = stcEquipList 解析完成：129 
【16:14:13】      message = stcItemList 解析完成：489 
【16:14:13】      message = stcGunList 解析完成：304 
【16:14:13】      message = stcSquadList 解析完成：3 
【16:14:13】      message = stcSquad_chipList 解析完成：28 
【16:14:13】      message = stcSquad_typeList 解析完成：3 
【16:14:13】      message = stcSquad_rankList 解析完成：5 
【16:14:13】      message = stcSquad_expList 解析完成：100 
【16:14:13】      message = stcSquad_chip_expList 解析完成：20 
【16:14:13】      message = stcSquad_data_dailyList 解析完成：14 
【16:14:13】      message = stcSquad_advanced_bonusList 解析完成：30 
【16:14:13】      message = stcSquad_cpuList 解析完成：3 
【16:14:13】      message = stcSquad_colorList 解析完成：2 
【16:14:13】      message = stcSquad_gridList 解析完成：59 
【16:14:13】      message = stcSquad_cpu_completionList 解析完成：21 
【16:14:13】      message = 引用作战dll 
【16:14:13】      message = 没有对应的HostName 无法返回HostAddress 
【16:14:13】      message = 没有对应的HostName 无法返回HostAddress 
【16:14:13】      message = 没有对应的HostName 无法返回HostAddress 
