【01:35:06】      message = 获取UserInfo , exception = 
【01:35:09】      message = 签到 , exception = 
【01:35:09】      message = 查询新邮件 , exception = 
【01:36:31】      message = 6_6BOSS 成功 , exception = 
【01:37:12】      message = 6_6BOSS 成功 , exception = 
【01:37:53】      message = 6_6BOSS 成功 , exception = 
【01:38:40】      message = 6_6BOSS 成功 , exception = 
【01:39:03】      message = 获取新人形 : lwmmg ,意不意外 惊不惊喜 
【01:39:23】      message = 6_6BOSS 成功 , exception = 
【01:40:04】      message = 6_6BOSS 成功 , exception = 
【01:40:45】      message = 6_6BOSS 成功 , exception = 
【01:41:27】      message = 6_6BOSS 成功 , exception = 
【01:41:33】      message = 人形强化 ERROR , exception = error:2
【01:41:37】      message = 人形强化 ERROR , exception = error:2
【01:41:41】      message = 人形强化 ERROR , exception = error:2
【01:41:45】      message = 人形强化 ERROR , exception = error:2
【01:41:50】      message = 人形强化 ERROR , exception = error:2
【01:41:54】      message = 人形强化 ERROR , exception = error:2
【01:41:58】      message = 人形强化 ERROR , exception = error:2
【01:42:50】      message = 6_6BOSS 成功 , exception = 
【01:43:31】      message = 6_6BOSS 成功 , exception = 
【01:44:12】      message = 6_6BOSS 成功 , exception = 
【01:44:53】      message = 6_6BOSS 成功 , exception = 
【01:45:34】      message = 6_6BOSS 成功 , exception = 
【01:46:15】      message = 6_6BOSS 成功 , exception = 
【01:46:57】      message = 6_6BOSS 成功 , exception = 
【01:47:40】      message = endTurn Error , exception = error:0
【01:47:40】      message = 6_6BOSS 成功 , exception = 
【01:47:46】      message = 人形强化 ERROR , exception = error:0
【01:47:49】      message = 人形强化 ERROR , exception = error:0
【01:47:53】      message = 人形强化 ERROR , exception = error:0
【01:47:57】      message = 人形强化 ERROR , exception = error:0
【01:48:01】      message = 人形强化 ERROR , exception = error:0
【01:48:04】      message = 人形强化 ERROR , exception = error:0
【01:48:08】      message = 人形强化 ERROR , exception = error:0
