【05:34:34】      message = Establish_Build_Finish ERROR , exception = error:202|尚无任何产出
【05:37:35】      message = 战斗任务结束,获得 人力 130 子弹 -65 口粮 0 零件 22 初级 0 中级 0 高级 5 人形 0 
【05:37:35】      message = 获取人力比率 11 
【05:37:35】      message = 获取子弹比率 -5 
【05:37:35】      message = 获取口粮比率 0 
【05:37:35】      message = 获取零件比率 2 
【05:37:35】      message = 获取初级比率 0 
【05:37:35】      message = 获取中级比率 0 
【05:37:35】      message = 获取高级比率 0 
【05:37:35】      message = 获取人形比率 0 
【06:03:00】      message = -----------获取好友电池信息------------ 
【06:04:42】      message = 非法操作 System.InvalidOperationException: Collection was modified; enumeration operation may not execute.
   at System.Collections.Generic.Dictionary`2.Enumerator.MoveNext()
   at GFHelp.Core.MulitePlayerData.Dorm_With_User_Info.FriendBattery() in C:\Users\jack\Desktop\CS\GFHelp-Web\GFHelp.Core\MulitePlayerData\UserData\Dorm_With_User_Info.cs:line 228 
【06:37:02】      message = Establish_Build_Finish ERROR , exception = error:202|尚无任何产出
【08:15:27】      message = Establish_Build_Finish ERROR , exception = error:202|尚无任何产出
【09:48:38】      message = Establish_Build_Finish ERROR , exception = error:202|尚无任何产出
【11:15:57】      message = Establish_Build_Finish ERROR , exception = error:202|尚无任何产出
【11:28:08】      message = 后勤结束失败 , exception = error:7
【12:45:18】      message = Establish_Build_Finish ERROR , exception = error:202|尚无任何产出
【13:23:06】      message = 战斗任务结束,获得 人力 7800 子弹 -14105 口粮 -13845 零件 2618 初级资料 3045 中级资料 984 高级资料 330 人形 0 
【13:23:06】      message = 获取人力比率 7 
【13:23:06】      message = 获取子弹比率 -14 
【13:23:06】      message = 获取口粮比率 -13 
【13:23:06】      message = 获取零件比率 2 
【13:23:06】      message = 获取初级资料比率 3 
【13:23:06】      message = 获取中级资料比率 0 
【13:23:06】      message = 获取高级资料比率 0 
【13:23:06】      message = 获取人形比率 0 
【17:36:22】      message = 获取UserInfo失败 , exception = 
【18:03:00】      message = -----------获取好友电池信息------------ 
【18:05:11】      message =  s3.NorthAdmiral 宿舍 电池数 10 
【18:05:11】      message =  siguld 宿舍 电池数 10 
【18:05:11】      message =  KP31 宿舍 电池数 10 
【18:05:11】      message =  这是好事 宿舍 电池数 10 
【18:05:11】      message =  Illyasviel 宿舍 电池数 10 
【18:05:11】      message =  丁丁 宿舍 电池数 10 
【18:05:11】      message =  Akakuma 宿舍 电池数 10 
【18:05:11】      message =  KazMiller 宿舍 电池数 10 
【18:05:11】      message =  小仓朝日 宿舍 电池数 10 
【18:05:11】      message =  苍穹暗帝 宿舍 电池数 10 
【18:05:11】      message =  Cirno9 宿舍 电池数 10 
【18:05:11】      message =  Sumiko 宿舍 电池数 10 
【18:05:11】      message =  米科 宿舍 电池数 10 
【18:05:11】      message =  UZ 宿舍 电池数 10 
【18:05:11】      message =  白日梦想家 宿舍 电池数 10 
【18:05:11】      message =  霖音Blank 宿舍 电池数 10 
【18:05:11】      message =  马蒂尼亨利 宿舍 电池数 10 
【18:05:11】      message =  朝闻道 宿舍 电池数 10 
【18:05:11】      message =  Culente 宿舍 电池数 10 
【18:05:11】      message =  我不是陆Sir 宿舍 电池数 10 
【18:05:11】      message =  s1.模拟创星图 宿舍 电池数 10 
【18:05:11】      message =  Weiss 宿舍 电池数 10 
【18:05:11】      message =  聖峰銀月 宿舍 电池数 10 
【18:05:11】      message =  FuZe 宿舍 电池数 10 
【18:05:11】      message =  Yudachi 宿舍 电池数 10 
【18:05:11】      message =  索涅奇卡 宿舍 电池数 10 
【18:05:11】      message =  Ark 宿舍 电池数 10 
【18:05:11】      message =  Nihil 宿舍 电池数 10 
【18:05:11】      message =  伊洛卡卡 宿舍 电池数 10 
【18:05:11】      message =  丨WA2000丨 宿舍 电池数 10 
【18:05:11】      message =  aoi 宿舍 电池数 10 
【18:05:11】      message =  辉辉夜 宿舍 电池数 10 
【18:05:11】      message =  林有德 宿舍 电池数 10 
【18:05:11】      message =  Wa酱 宿舍 电池数 10 
【18:05:11】      message =  s13.虛幻 宿舍 电池数 10 
【18:05:11】      message =  s3.雪上 宿舍 电池数 10 
【18:05:11】      message =  摩西摩西 宿舍 电池数 10 
【18:05:11】      message =  月鸟武 宿舍 电池数 10 
【18:05:11】      message =  彼岸花开四季 宿舍 电池数 10 
【18:05:11】      message =  星辰cobewb 宿舍 电池数 10 
【18:05:11】      message =  城南小巷 宿舍 电池数 10 
【18:05:11】      message =  坍塌液真好喝 宿舍 电池数 10 
【18:05:11】      message =  jokes 宿舍 电池数 10 
【18:05:11】      message =  筠礼 宿舍 电池数 8 
